             x             y             z          prec          calc          diff    n loc
  7.000000e+00  4.000000e+00  2.000000e+00  2.000000e+00  2.000000e+00  2.797762e-14  228 border
  7.000000e+00  4.000000e+00  2.000000e+00  5.000000e+00  5.000000e+00  1.563194e-13  229 border
  1.000000e+00  5.500000e+00  2.000000e+00  2.000000e+00  2.000000e+00  1.625367e-13  230 border
  1.000000e+00  5.500000e+00  2.000000e+00  5.000000e+00  5.000000e+00  5.773160e-14  231 border
  2.500000e+00  5.500000e+00  2.000000e+00  2.000000e+00  2.000000e+00  6.123990e-13  232 border
  2.500000e+00  5.500000e+00  2.000000e+00  5.000000e+00  5.000000e+00  2.176037e-13  233 border
  4.000000e+00  5.500000e+00  2.000000e+00  2.000000e+00  2.000000e+00  3.907985e-14  234 border
  4.000000e+00  5.500000e+00  2.000000e+00  5.000000e+00  5.000000e+00  3.428369e-13  235 border
  5.500000e+00  5.500000e+00  2.000000e+00  2.000000e+00  2.000000e+00  4.605205e-13  236 border
  5.500000e+00  5.500000e+00  2.000000e+00  5.000000e+00  5.000000e+00  5.719869e-13  237 border
  7.000000e+00  5.500000e+00  2.000000e+00  2.000000e+00  2.000000e+00  8.393286e-14  238 border
  7.000000e+00  5.500000e+00  2.000000e+00  5.000000e+00  5.000000e+00  1.314504e-13  239 border
  1.000000e+00  7.000000e+00  2.000000e+00  2.000000e+00  2.000000e+00  3.641532e-14  240 border
  1.000000e+00  7.000000e+00  2.000000e+00  5.000000e+00  5.000000e+00  1.776357e-14  241 border
  2.500000e+00  7.000000e+00  2.000000e+00  2.000000e+00  2.000000e+00  1.421085e-13  242 border
  2.500000e+00  7.000000e+00  2.000000e+00  5.000000e+00  5.000000e+00  8.615331e-14  243 border
  4.000000e+00  7.000000e+00  2.000000e+00  2.000000e+00  2.000000e+00  5.240253e-14  244 border
  4.000000e+00  7.000000e+00  2.000000e+00  5.000000e+00  5.000000e+00  9.414691e-14  245 border
  5.500000e+00  7.000000e+00  2.000000e+00  2.000000e+00  2.000000e+00  8.215650e-14  246 border
  5.500000e+00  7.000000e+00  2.000000e+00  5.000000e+00  5.000000e+00  1.216804e-13  247 border
  7.000000e+00  7.000000e+00  2.000000e+00  2.000000e+00  2.000000e+00  2.486900e-14  248 border
  7.000000e+00  7.000000e+00  2.000000e+00  5.000000e+00  5.000000e+00  2.309264e-14  249 border
||u-u*||/||u*|| = 3.876563e-14
||u-u*||2.167065e-12
